Song,Date,Total Number of Plays for Date
song360,2022-10-02,1
song447,2022-07-05,1
song581,2022-02-26,1
song403,2022-08-08,2
song551,2022-04-21,1
song203,2022-12-17,1
song866,2022-10-30,1
song931,2022-05-30,1
song392,2022-08-06,2
song267,2022-09-18,2
song409,2022-05-09,1
song141,2022-09-30,1
song265,2022-06-14,1
song198,2022-07-29,1
song551,2022-11-01,1
song998,2022-07-06,1
song399,2022-09-25,1
song863,2022-08-20,2
song702,2022-08-29,1
song824,2022-12-25,1
song875,2022-06-08,2
song254,2022-08-19,2
song752,2022-07-28,1
song931,2022-11-22,1
song207,2022-12-21,1
song414,2022-04-27,1
song603,2022-02-21,1
song687,2022-05-03,1
song942,2022-11-12,2
song145,2022-07-10,1
song286,2022-05-12,2
song195,2022-12-22,1
song451,2022-06-29,1
song10,2022-12-29,1
song67,2022-10-27,1
song200,2022-08-07,1
song607,2022-10-16,1
song761,2022-09-20,1
song201,2022-05-12,1
song74,2022-05-25,1
song337,2022-02-22,1
song318,2022-05-21,1
song542,2022-10-04,1
song990,2022-08-25,1
song727,2022-02-16,1
song195,2022-04-20,1
song154,2022-12-17,1
song442,2022-02-01,1
song21,2022-06-28,1
song722,2022-02-02,1
song541,2022-03-31,1
song246,2022-09-01,1
song569,2022-11-18,2
song80,2022-04-06,1
song847,2022-03-30,1
song234,2022-08-26,1
song421,2022-10-29,2
song845,2022-06-14,1
song906,2022-08-11,2
song225,2022-05-10,1
song504,2022-07-08,1
song909,2022-11-19,1
song879,2022-03-07,1
song858,2022-06-11,2
song43,2022-10-20,1
song762,2022-03-29,1
song458,2022-09-06,1
song93,2022-12-14,2
song246,2022-12-27,1
song237,2022-05-18,1
song973,2022-05-27,1
song500,2022-08-30,1
song867,2022-11-14,1
song495,2022-10-11,1
song665,2022-07-04,1
song965,2022-08-07,1
song344,2022-06-08,1
song610,2022-01-17,1
song66,2022-08-12,1
song171,2022-04-12,2
song473,2022-05-30,1
song433,2022-05-10,1
song588,2022-06-09,1
song515,2022-03-02,2
song165,2022-01-19,2
song430,2022-03-30,1
song325,2022-03-20,1
song107,2022-11-30,1
song560,2022-07-06,1
song938,2022-08-29,1
song870,2022-06-13,1
song617,2022-03-06,1
song964,2022-08-22,1
song744,2022-10-30,2
song571,2022-07-11,1
song976,2022-01-02,1
song622,2022-02-08,1
song937,2022-11-27,1
song635,2022-12-21,1
song785,2022-03-14,1
song485,2022-04-24,2
song142,2022-01-27,1
song201,2022-10-06,1
song972,2022-08-24,2
song629,2022-05-12,1
song113,2022-10-19,1
song937,2022-01-05,1
song804,2022-02-06,1
song202,2022-06-07,1
song516,2022-01-16,1
song495,2022-10-10,1
song377,2022-04-28,1
song267,2022-08-19,1
song873,2022-05-03,1
song621,2022-04-17,1
song145,2022-12-27,1
song480,2022-04-20,1
song890,2022-07-09,2
song796,2022-05-20,1
song745,2022-05-22,2
song418,2022-05-09,1
song158,2022-10-05,2
song237,2022-02-18,1
song132,2022-07-03,1
song648,2022-09-06,1
song451,2022-04-09,1
song621,2022-02-18,1
song750,2022-11-07,1
song855,2022-09-25,1
song812,2022-08-03,1
song860,2022-10-07,1
song299,2022-06-14,1
song771,2022-07-22,1
song74,2022-09-25,2
song766,2022-01-25,1
song793,2022-02-28,1
song204,2022-11-19,1
song642,2022-06-25,1
song14,2022-08-27,1
song786,2022-06-11,1
song564,2022-09-15,1
song444,2022-08-04,1
song38,2022-04-14,1
song529,2022-02-05,1
song757,2022-03-20,1
song550,2022-03-06,1
song175,2022-02-23,2
song169,2022-01-22,2
song794,2022-07-04,1
song11,2022-10-24,1
song314,2022-09-27,1
song6,2022-05-08,1
song846,2022-01-22,1
song346,2022-09-21,1
song364,2022-09-14,1
song231,2022-06-30,1
song837,2022-08-27,1
song76,2022-12-21,1
song588,2022-04-12,1
song544,2022-06-23,1
song339,2022-04-19,1
song378,2022-11-28,1
song151,2022-07-19,1
song969,2022-09-07,1
song995,2022-10-18,1
song509,2022-06-11,1
song963,2022-07-31,1
song834,2022-05-30,1
song47,2022-08-05,1
song614,2022-02-22,2
song34,2022-11-07,1
song372,2022-05-16,1
song898,2022-09-20,1
song555,2022-01-09,1
song340,2022-12-21,2
song844,2022-08-22,1
song231,2022-06-21,2
song33,2022-07-19,2
song113,2022-05-05,1
song229,2022-01-12,1
song65,2022-02-06,2
song843,2022-05-12,1
song757,2022-07-21,1
song728,2022-05-26,1
song427,2022-04-14,1
song847,2022-05-28,1
song734,2022-11-18,1
song916,2022-12-15,1
song871,2022-04-08,1
song851,2022-12-09,2
song690,2022-03-29,1
song220,2022-07-27,1
song507,2022-07-31,1
song759,2022-02-04,1
song716,2022-07-15,1
song68,2022-12-23,1
song276,2022-02-22,1
song790,2022-04-13,2
song641,2022-04-10,2
song976,2022-02-03,1
song632,2022-09-30,1
song430,2022-04-11,1
song359,2022-08-17,1
song1,2022-04-12,1
song686,2022-01-13,1
song219,2022-04-11,1
song814,2022-08-26,1
song698,2022-02-19,1
song903,2022-10-20,1
song627,2022-03-03,1
song372,2022-01-17,1
song803,2022-09-07,1
song321,2022-04-23,1
song756,2022-11-16,1
song138,2022-06-20,2
song417,2022-07-31,1
song490,2022-10-26,1
song288,2022-03-19,1
song183,2022-09-18,1
song163,2022-01-22,1
song218,2022-03-23,1
song714,2022-01-07,1
song977,2022-09-18,1
song319,2022-06-06,1
song155,2022-05-01,1
song435,2022-01-21,1
song631,2022-08-05,2
song970,2022-02-17,1
song213,2022-12-13,1
song864,2022-09-10,1
song357,2022-02-21,1
song774,2022-10-11,2
song74,2022-03-20,1
song700,2022-08-23,1
song939,2022-09-21,1
song925,2022-04-19,1
song372,2022-07-14,1
song440,2022-07-11,1
song775,2022-08-25,2
song319,2022-06-15,2
song411,2022-02-07,2
song637,2022-02-02,1
song652,2022-06-18,1
song422,2022-11-22,1
song905,2022-06-27,1
song541,2022-08-30,2
song730,2022-04-12,1
song775,2022-05-28,1
song51,2022-10-08,1
song508,2022-09-05,1
song25,2022-04-24,1
song520,2022-07-02,1
song307,2022-02-02,1
song554,2022-04-26,1
song611,2022-02-02,1
song216,2022-01-26,1
song473,2022-08-23,1
song282,2022-09-26,2
song796,2022-04-19,1
song248,2022-12-18,1
song827,2022-03-04,1
song587,2022-05-31,1
song751,2022-04-22,1
song263,2022-03-18,1
song784,2022-05-09,1
song279,2022-10-28,1
song693,2022-01-14,1
song807,2022-10-27,1
song342,2022-06-08,1
song67,2022-04-25,2
song939,2022-11-08,2
song854,2022-11-29,1
song681,2022-10-09,1
song655,2022-01-02,1
song647,2022-09-26,3
song424,2022-05-18,1
song148,2022-02-15,1
song188,2022-01-13,1
song676,2022-02-22,1
song282,2022-06-19,1
song756,2022-02-08,1
song992,2022-08-05,2
song632,2022-10-15,1
song211,2022-08-25,1
song157,2022-07-08,1
song800,2022-03-03,1
song859,2022-03-25,1
song627,2022-07-25,1
song324,2022-03-07,1
song775,2022-06-21,1
song441,2022-05-18,1
song261,2022-06-06,1
song114,2022-12-28,1
song744,2022-11-05,1
song673,2022-09-16,2
song831,2022-03-22,1
song653,2022-07-08,2
song275,2022-11-14,1
song615,2022-08-23,1
song75,2022-12-09,1
song524,2022-05-15,1
song251,2022-11-18,1
song58,2022-06-10,1
song327,2022-04-28,1
song579,2022-05-05,1
song196,2022-02-25,1
song241,2022-05-18,1
song221,2022-01-05,1
song31,2022-09-13,1
song631,2022-02-13,1
song523,2022-02-25,1
song233,2022-08-06,1
song959,2022-01-09,1
song896,2022-07-28,1
song713,2022-05-02,1
song247,2022-08-17,2
song947,2022-03-29,1
song792,2022-04-19,1
song537,2022-01-15,1
song569,2022-05-30,2
song642,2022-06-28,1
song814,2022-12-01,1
song14,2022-11-24,2
song333,2022-04-30,1
song877,2022-04-01,1
song118,2022-07-03,1
song91,2022-08-16,1
song687,2022-05-19,1
song905,2022-06-26,1
song989,2022-05-21,1
song981,2022-11-15,1
song461,2022-11-16,1
song272,2022-01-29,1
song221,2022-01-17,1
song126,2022-04-27,1
song961,2022-10-26,1
song331,2022-04-02,1
song781,2022-01-19,1
song828,2022-01-30,1
song194,2022-07-14,1
song589,2022-01-22,1
song368,2022-09-28,1
song451,2022-08-21,1
song535,2022-08-29,1
song822,2022-05-10,1
song532,2022-02-09,3
song616,2022-11-02,1
song650,2022-12-30,1
song214,2022-01-16,1
song947,2022-06-01,1
song562,2022-04-22,1
song620,2022-12-16,1
song975,2022-08-08,1
song642,2022-09-24,1
song978,2022-08-16,1
song387,2022-03-17,1
song867,2022-08-23,1
song893,2022-12-02,1
song293,2022-06-07,1
song533,2022-10-19,1
song353,2022-05-08,1
song403,2022-10-24,1
song669,2022-09-23,1
song142,2022-03-08,1
song982,2022-03-10,1
song618,2022-11-30,2
song705,2022-06-04,1
song90,2022-01-11,1
song435,2022-03-16,1
song250,2022-12-07,1
song0,2022-09-17,1
song18,2022-08-10,1
song381,2022-11-18,1
song363,2022-01-30,2
song277,2022-11-17,1
song799,2022-08-25,1
song712,2022-05-08,1
song728,2022-06-18,1
song722,2022-04-27,1
song539,2022-09-02,1
song116,2022-05-25,1
song121,2022-10-24,1
song26,2022-04-22,1
song424,2022-10-19,1
song497,2022-11-20,1
song712,2022-06-14,1
song308,2022-01-20,1
song108,2022-09-11,1
song742,2022-03-16,1
song844,2022-11-04,1
song742,2022-04-12,1
song702,2022-05-08,1
song816,2022-01-04,1
song624,2022-07-20,1
song959,2022-10-03,1
song210,2022-08-05,1
song937,2022-02-15,1
song217,2022-09-27,1
song294,2022-01-02,2
song51,2022-05-18,2
song421,2022-03-09,3
song133,2022-12-15,1
song148,2022-08-26,1
song613,2022-04-13,2
song856,2022-07-02,1
song514,2022-11-09,1
song337,2022-04-03,1
song662,2022-08-31,1
song576,2022-01-03,1
song955,2022-06-13,1
song139,2022-06-05,1
song931,2022-02-16,1
song409,2022-03-04,1
song448,2022-02-13,2
song841,2022-02-22,1
song518,2022-03-07,1
song117,2022-11-08,2
song732,2022-11-24,1
song368,2022-03-24,1
song758,2022-02-24,1
song463,2022-02-25,1
song967,2022-04-06,1
song921,2022-05-14,1
song115,2022-05-03,1
song13,2022-07-17,2
song969,2022-09-29,2
song733,2022-10-11,1
song158,2022-08-15,1
song730,2022-05-22,1
song296,2022-12-15,1
song693,2022-09-01,1
song550,2022-04-30,1
song603,2022-10-12,2
song210,2022-12-26,2
song291,2022-08-21,2
song145,2022-09-02,1
song15,2022-12-24,1
song564,2022-02-17,1
song778,2022-11-05,1
song510,2022-06-23,2
song317,2022-06-01,1
song665,2022-04-04,1
song253,2022-10-18,1
song123,2022-02-26,1
song622,2022-09-13,1
song677,2022-10-14,2
song766,2022-07-21,1
song529,2022-01-01,1
song715,2022-03-08,1
song200,2022-10-20,1
song378,2022-09-30,2
song977,2022-02-24,1
song482,2022-12-29,1
song884,2022-09-14,1
song778,2022-09-21,1
song230,2022-12-13,1
song422,2022-01-02,1
song231,2022-05-09,1
song732,2022-02-26,1
song867,2022-06-19,1
song491,2022-04-13,1
song615,2022-05-07,1
song639,2022-09-01,1
song477,2022-11-08,1
song545,2022-10-22,1
song979,2022-11-21,2
song544,2022-09-16,1
song686,2022-10-02,1
song68,2022-08-08,1
song360,2022-05-24,1
song448,2022-07-29,1
song171,2022-08-03,1
song701,2022-03-19,1
song440,2022-10-19,1
song50,2022-10-22,1
song274,2022-09-17,1
song779,2022-05-22,1
song781,2022-05-24,1
song856,2022-06-07,1
song222,2022-02-10,1
song696,2022-08-27,1
song456,2022-01-16,1
song978,2022-01-17,1
song940,2022-10-28,1
song614,2022-05-09,1
song940,2022-09-20,1
song739,2022-07-13,1
song227,2022-04-06,2
song777,2022-05-25,1
song75,2022-04-30,1
song29,2022-12-25,1
song244,2022-07-27,1
song91,2022-10-19,2
song267,2022-09-10,1
song101,2022-07-17,1
song858,2022-03-25,1
song687,2022-03-14,1
song949,2022-11-26,1
song470,2022-03-07,1
song41,2022-08-06,2
song252,2022-08-24,1
song609,2022-02-08,1
song760,2022-05-13,1
song826,2022-10-24,1
song292,2022-10-31,1
song953,2022-10-21,1
song252,2022-09-07,1
song530,2022-11-02,1
song794,2022-11-07,1
song521,2022-03-02,2
song249,2022-05-30,2
song463,2022-12-12,1
song982,2022-12-21,2
song750,2022-12-27,1
song992,2022-10-23,1
song158,2022-04-18,1
song430,2022-01-07,1
song492,2022-04-22,1
song142,2022-03-18,1
song348,2022-05-26,2
song333,2022-05-10,1
song654,2022-07-04,1
song33,2022-11-07,1
song50,2022-05-13,1
song375,2022-07-23,1
song598,2022-06-25,1
song804,2022-09-14,1
song256,2022-10-01,2
song133,2022-05-12,1
song614,2022-05-03,1
song482,2022-02-24,1
song346,2022-12-17,1
song854,2022-05-14,1
song416,2022-03-17,1
song698,2022-04-13,1
song581,2022-09-12,1
song990,2022-03-28,1
song177,2022-01-04,1
song379,2022-10-27,1
song295,2022-09-12,1
song271,2022-11-25,1
song493,2022-07-20,1
song926,2022-08-22,2
song296,2022-03-26,1
song438,2022-11-27,1
song733,2022-04-11,1
song186,2022-04-10,1
song500,2022-05-06,1
song236,2022-07-03,1
song378,2022-10-09,1
song313,2022-06-12,1
song636,2022-05-09,1
song438,2022-03-04,1
song670,2022-07-09,1
song768,2022-08-01,1
song89,2022-11-04,1
song107,2022-07-12,1
song301,2022-03-13,1
song609,2022-10-16,1
song165,2022-06-07,1
song813,2022-01-07,2
song943,2022-03-19,1
song354,2022-02-12,1
song262,2022-07-27,1
song633,2022-12-24,1
song505,2022-01-08,1
song254,2022-01-16,1
song453,2022-07-10,1
song237,2022-10-05,1
song374,2022-12-15,1
song796,2022-09-12,1
song102,2022-03-23,1
song734,2022-12-18,1
song729,2022-11-01,1
song344,2022-01-27,1
song615,2022-03-05,1
song266,2022-07-11,1
song224,2022-08-24,1
song107,2022-12-12,1
song721,2022-03-26,1
song76,2022-10-01,1
song190,2022-11-08,1
song621,2022-06-07,1
song556,2022-04-29,1
song29,2022-06-03,1
song4,2022-01-22,1
song845,2022-09-16,2
song930,2022-01-20,1
song529,2022-04-21,1
song108,2022-10-20,1
song987,2022-08-10,1
song873,2022-03-21,1
song452,2022-05-09,1
song354,2022-11-19,1
song533,2022-07-19,2
song179,2022-07-08,1
song866,2022-06-17,1
song647,2022-02-06,1
song791,2022-04-26,1
song290,2022-07-25,2
song765,2022-08-30,2
song619,2022-03-10,2
song671,2022-08-24,1
song902,2022-06-22,1
song166,2022-12-01,1
song836,2022-06-24,1
song31,2022-05-22,1
song198,2022-01-10,1
song508,2022-05-01,1
song947,2022-04-20,1
song746,2022-05-31,1
song644,2022-11-28,1
song544,2022-03-17,1
song259,2022-08-25,1
song357,2022-02-24,1
song166,2022-03-12,1
song317,2022-01-30,1
song562,2022-07-21,1
song948,2022-04-28,1
song979,2022-10-10,2
song441,2022-10-31,1
song399,2022-09-22,1
song576,2022-05-08,1
song414,2022-01-10,1
song960,2022-06-26,1
song175,2022-02-28,1
song589,2022-03-29,1
song43,2022-04-21,1
song654,2022-01-29,1
song518,2022-04-25,1
song471,2022-10-06,1
song658,2022-09-25,1
song572,2022-07-25,1
song66,2022-07-11,2
song272,2022-04-28,1
song621,2022-10-17,1
song73,2022-06-26,1
song312,2022-02-01,1
song845,2022-12-21,1
song452,2022-06-21,1
song201,2022-01-10,1
song267,2022-12-06,1
song262,2022-08-12,1
song782,2022-04-11,1
song530,2022-09-08,1
song607,2022-12-26,2
song236,2022-11-21,1
song94,2022-07-26,3
song817,2022-03-26,1
song644,2022-12-11,1
song439,2022-08-26,1
song842,2022-12-27,1
song865,2022-06-01,2
song480,2022-11-18,1
song283,2022-04-27,1
song453,2022-04-30,1
song660,2022-11-10,2
song237,2022-03-18,2
song735,2022-08-18,1
song430,2022-04-27,1
song879,2022-06-05,1
song295,2022-11-01,1
song166,2022-12-15,1
song916,2022-07-12,1
song719,2022-08-05,1
song448,2022-01-27,1
song424,2022-07-02,1
song228,2022-02-25,1
song844,2022-06-09,2
song822,2022-04-19,1
song798,2022-02-01,1
song647,2022-02-27,1
song101,2022-05-29,1
song543,2022-05-20,1
song933,2022-10-22,1
song116,2022-07-18,1
song773,2022-10-05,1
song13,2022-12-28,1
song859,2022-07-17,2
song895,2022-03-26,1
song101,2022-08-13,1
song828,2022-11-27,1
song327,2022-04-04,1
song890,2022-11-04,1
song109,2022-08-07,1
song888,2022-05-04,1
song609,2022-05-20,1
song397,2022-03-31,1
song943,2022-10-30,1
song166,2022-03-25,2
song12,2022-10-08,1
song399,2022-06-24,1
song655,2022-10-01,1
song404,2022-12-20,2
song10,2022-01-12,1
song229,2022-12-11,1
song250,2022-09-22,1
song842,2022-11-10,1
song76,2022-04-12,1
song893,2022-05-30,1
song720,2022-06-29,1
song429,2022-11-14,1
song59,2022-02-15,1
song102,2022-02-24,1
song982,2022-07-19,1
song411,2022-12-14,1
song400,2022-04-04,1
song551,2022-06-28,1
song804,2022-04-18,1
song632,2022-12-17,1
song444,2022-04-28,1
song330,2022-10-23,1
song350,2022-10-09,2
song308,2022-03-04,1
song55,2022-05-08,1
song708,2022-09-06,1
song295,2022-05-22,1
song742,2022-05-19,1
song411,2022-06-12,1
song950,2022-01-14,1
song525,2022-03-21,1
song698,2022-05-08,1
song14,2022-01-01,1
song576,2022-12-16,1
song575,2022-05-23,1
song88,2022-07-02,1
song987,2022-11-10,2
song415,2022-10-15,1
song713,2022-03-02,1
song609,2022-11-05,1
song583,2022-08-30,1
song731,2022-10-21,1
song999,2022-12-06,1
song386,2022-01-01,1
song700,2022-11-12,1
song303,2022-01-11,1
song782,2022-02-08,1
song210,2022-12-11,1
song375,2022-11-12,2
song474,2022-06-13,1
song239,2022-01-14,1
song378,2022-10-11,1
song139,2022-10-27,1
song273,2022-09-30,1
song559,2022-09-08,1
song446,2022-11-19,1
song942,2022-12-11,1
song871,2022-03-03,1
song810,2022-07-17,1
song711,2022-12-16,1
song659,2022-02-28,1
song333,2022-08-23,1
song117,2022-10-31,1
song338,2022-08-09,1
song638,2022-06-17,1
song666,2022-05-14,1
song796,2022-12-05,1
song830,2022-03-19,2
song844,2022-06-04,1
song144,2022-08-31,1
song636,2022-03-20,1
song568,2022-05-24,1
song272,2022-05-15,1
song917,2022-01-07,1
song733,2022-07-14,1
song297,2022-02-05,1
song655,2022-05-23,1
song221,2022-10-21,1
song237,2022-05-21,1
song712,2022-10-12,1
song964,2022-11-08,1
song887,2022-09-30,1
song641,2022-04-27,1
song739,2022-10-05,1
song912,2022-10-21,1
song7,2022-12-18,2
song952,2022-09-14,2
song227,2022-07-05,1
song430,2022-11-27,1
song861,2022-06-10,1
song176,2022-02-17,2
song622,2022-06-24,1
song827,2022-06-26,1
song254,2022-12-26,1
song897,2022-02-11,1
song239,2022-08-02,1
song470,2022-04-28,1
song349,2022-06-14,1
song455,2022-06-14,2
song549,2022-01-20,1
song242,2022-05-14,1
song133,2022-02-23,1
song828,2022-02-19,1
song571,2022-05-28,1
song20,2022-03-11,1
song147,2022-01-26,1
song614,2022-10-15,1
song315,2022-07-25,1
song666,2022-03-25,1
song372,2022-05-09,1
song676,2022-03-07,1
song560,2022-07-29,1
song638,2022-10-31,1
song884,2022-02-05,1
song818,2022-02-21,1
song58,2022-04-06,1
song130,2022-05-11,1
song691,2022-11-11,1
song515,2022-06-25,1
song801,2022-12-08,1
song650,2022-09-07,1
song288,2022-11-12,1
song140,2022-08-26,1
song539,2022-10-17,1
song919,2022-07-12,1
song440,2022-11-01,1
song591,2022-05-20,1
song824,2022-07-16,1
song263,2022-10-05,2
song63,2022-01-20,1
song350,2022-01-22,1
song472,2022-04-02,1
song954,2022-09-06,1
song278,2022-04-11,1
song565,2022-06-17,1
song450,2022-12-26,1
song836,2022-04-14,1
song488,2022-05-19,2
song743,2022-11-23,1
song623,2022-08-22,1
song789,2022-02-21,1
song769,2022-05-01,1
song335,2022-01-13,1
song64,2022-08-01,1
song141,2022-06-02,2
song762,2022-07-20,1
song807,2022-01-14,1
song391,2022-04-04,1
song530,2022-12-24,1
song801,2022-01-11,3
song277,2022-10-12,1
song899,2022-12-04,3
song2,2022-12-01,1
song275,2022-04-12,1
song618,2022-03-05,1
song363,2022-09-09,1
song829,2022-05-19,1
song527,2022-08-15,1
song22,2022-11-04,1
song149,2022-02-13,1
song3,2022-06-29,1
song411,2022-04-17,1
song656,2022-11-10,1
song553,2022-04-18,2
song94,2022-12-16,1
song868,2022-09-22,1
song545,2022-06-13,1
song2,2022-05-11,1
song704,2022-12-07,1
song541,2022-10-31,1
song987,2022-12-16,1
song960,2022-08-05,1
song718,2022-09-12,1
song603,2022-12-17,1
song859,2022-11-19,1
song357,2022-08-15,1
song279,2022-10-08,1
song569,2022-05-08,1
song588,2022-01-25,1
song981,2022-09-23,1
song787,2022-05-31,1
song450,2022-12-02,2
song241,2022-02-06,1
song664,2022-11-05,1
song192,2022-11-07,1
song884,2022-06-07,1
song161,2022-03-22,1
song38,2022-04-28,1
song926,2022-11-18,1
song766,2022-07-13,2
song794,2022-12-19,1
song350,2022-10-04,3
song902,2022-11-12,1
song260,2022-04-30,1
song953,2022-03-08,1
song467,2022-04-22,1
song58,2022-10-22,1
song1,2022-12-04,1
song157,2022-09-10,1
song652,2022-11-17,1
song63,2022-09-11,1
song538,2022-01-16,1
song87,2022-03-14,1
song590,2022-04-22,1
song465,2022-03-01,1
song837,2022-07-02,1
song880,2022-09-16,2
song983,2022-05-25,1
song15,2022-05-04,1
song494,2022-09-13,1
song373,2022-06-11,1
song334,2022-10-30,1
song525,2022-02-12,1
song539,2022-09-21,1
song826,2022-06-09,2
song493,2022-02-05,1
song186,2022-01-02,1
song678,2022-06-13,1
song875,2022-04-16,1
song788,2022-11-19,1
song418,2022-04-27,1
song148,2022-09-27,1
song700,2022-03-10,2
song484,2022-05-12,1
song890,2022-05-26,1
song851,2022-08-10,1
song381,2022-12-19,1
song215,2022-04-23,1
song894,2022-03-08,1
song813,2022-10-09,1
song628,2022-11-08,1
song33,2022-08-04,1
song259,2022-10-01,1
song657,2022-05-22,1
song652,2022-01-07,1
song587,2022-05-18,1
song362,2022-07-28,2
song711,2022-05-29,1
song982,2022-04-10,1
song250,2022-10-21,1
song332,2022-05-11,1
song22,2022-11-28,1
song162,2022-05-13,1
song465,2022-10-04,1
song419,2022-11-04,1
song943,2022-09-18,1
song704,2022-03-13,1
song302,2022-04-14,2
song940,2022-04-03,1
song235,2022-11-03,1
song43,2022-04-25,1
song515,2022-08-04,1
song236,2022-08-13,1
song52,2022-05-11,1
song52,2022-07-06,1
song574,2022-06-24,1
song381,2022-04-11,1
song858,2022-01-08,2
song840,2022-10-01,1
song7,2022-02-10,1
song426,2022-04-04,1
song283,2022-02-14,1
song853,2022-01-30,2
song107,2022-08-25,1
song522,2022-06-01,1
song407,2022-03-30,1
song234,2022-09-26,1
song664,2022-08-17,1
song778,2022-07-01,1
song777,2022-03-14,1
song408,2022-05-24,1
song197,2022-09-16,1
song693,2022-12-27,1
song639,2022-12-08,1
song244,2022-09-18,1
song867,2022-02-12,2
song755,2022-12-11,1
song562,2022-10-11,1
song120,2022-08-15,1
song50,2022-08-04,1
song564,2022-06-23,2
song226,2022-09-14,1
song176,2022-05-24,1
song430,2022-10-30,1
song706,2022-07-28,2
song519,2022-05-15,1
song592,2022-01-18,1
song755,2022-05-03,1
song800,2022-12-04,1
song296,2022-01-22,1
song916,2022-10-02,1
song996,2022-09-10,1
song437,2022-03-09,2
song218,2022-07-07,1
song338,2022-06-22,1
song435,2022-09-10,1
song398,2022-04-06,1
song716,2022-03-03,1
song755,2022-08-30,1
song364,2022-10-31,1
song849,2022-05-08,1
song568,2022-09-15,1
song808,2022-01-16,1
song95,2022-05-29,1
song443,2022-04-21,1
